,datetime,nav,cash_position,margin_requirement
0,1994-07-29,74.10407075787677,87.00715731765948,100.36687664991224
0,1994-08-31,79.818650023878,87.8630583922747,105.9802735816011
0,1994-09-30,81.74253621655731,88.83713402684343,105.34157675264439
0,1994-10-31,85.11795474947327,89.82864586505417,108.26282880157643
0,1994-11-30,86.47073970513398,90.75114846213974,106.52993093278187
0,1994-12-30,85.07274317474206,91.30747973654309,108.0144883350207
0,1995-01-31,80.87603489571694,91.93953582376929,110.70219529979022
0,1995-02-28,79.51750307385026,92.0591984107652,113.82839365858476
0,1995-03-31,82.73092829765272,92.2457330896269,116.10099669627893
0,1995-04-28,81.45448286549961,92.48269840619174,117.03905456516725
0,1995-05-31,79.39237157385355,92.48636873235378,119.57608499252483
0,1995-06-30,85.1847053363176,93.2222885563806,123.34595562887509
0,1995-07-31,87.800893720434,94.23473422147731,127.28394626963814
0,1995-08-31,83.50697642276583,94.44428798007732,129.61960394522086
0,1995-09-29,81.59599132230852,94.17427513366076,131.30293240437413
0,1995-10-31,87.24608030204374,94.09416335993463,128.28709927368553
0,1995-11-30,80.80423476643125,93.29614444825427,127.78611197228355
0,1995-12-29,75.3456667887094,92.25415483910429,124.44163895919289
0,1996-01-31,71.72348598235078,91.61202377769501,123.66747379242665
0,1996-02-29,77.12278456074758,91.534930789138,123.66701323339305
0,1996-03-29,77.49878706935503,91.07470772530179,120.6859124368583
0,1996-04-30,85.48788689215911,91.42390785367596,122.53837567006819
0,1996-05-31,86.79665070592823,92.17237293249416,123.51573413850886
0,1996-06-28,84.89530641289136,92.31080368704734,120.43257598350593
0,1996-07-31,81.66948311617199,92.07274385915882,112.65934235049818
0,1996-08-30,81.70718022885336,92.21171412837987,115.07854813354999
0,1996-09-30,86.17699444926424,92.76149105009465,120.50952024676914
0,1996-10-31,81.26242505919974,92.24886006659372,119.02703804367887
0,1996-11-29,82.90158793811443,92.45352989700869,124.04434526437112
0,1996-12-31,78.62119261646319,92.61931887860686,122.45555357397495
0,1997-01-31,79.27958717556847,93.43124976006546,127.20474968534242
0,1997-02-28,69.02897626542395,93.0244910314804,123.69070604592909
0,1997-03-31,70.00441447439037,92.77113577459404,115.95064002024804
0,1997-04-30,73.19448137880002,92.30773748725711,118.5214494986372
0,1997-05-30,76.19239951596668,91.98043056084032,125.07181206417246
0,1997-06-30,74.6879442095228,91.65455630155817,125.82143210154786
0,1997-07-31,75.5380917716729,91.87670264420417,131.1134914207253
0,1997-08-29,76.11822626828666,92.09810171127596,124.9807243953062
0,1997-09-30,71.07646609729352,91.0781528179013,125.90695054120684
0,1997-10-31,71.8617720033052,90.69609262458428,121.17543699685585
0,1997-11-28,73.70761238119889,90.34860019134084,120.98616488611671
0,1997-12-31,67.55598980666737,89.63901297162802,119.1112243594907
0,1998-01-30,74.42870779815826,89.68436518014269,118.70394527582364
0,1998-02-27,76.79862093479181,90.72384374154215,125.01941965756862
0,1998-03-31,77.57630086410532,91.99883912052682,127.6920225537448
0,1998-04-30,75.23527832722664,92.71492863116185,125.84514741472341
0,1998-05-29,73.41680679122685,92.91301420896428,121.4178843987302
0,1998-06-30,82.28686521138637,94.01361976297976,125.69833953100252
0,1998-07-31,82.86138157191444,95.11082046482413,123.34491516864901
0,1998-08-31,83.59546019633056,96.15455234351471,108.91175744319958
0,1998-09-30,90.604908338472,97.90124607544433,116.22973164860558
0,1998-10-30,87.41584150456885,99.46629704697656,120.52557317415393
0,1998-11-30,91.78366418210207,101.27802532207419,129.32958114503106
0,1998-12-31,101.60438594014063,104.33863025129693,138.52656490501252
0,1999-01-29,114.27848610893405,108.49727966583113,148.78261665063155
0,1999-02-26,104.63543428586968,111.42661680428161,144.33318914266272
0,1999-03-31,108.54976011580132,114.40067005428241,153.01678670851646
0,1999-04-30,99.96077490469467,116.89389800617066,155.1648006726684
0,1999-05-28,96.37354975091311,119.73187810388393,153.75570536977813
0,1999-06-30,107.89172162576406,122.71597843396184,161.37961492704898
0,1999-07-30,104.4045830555962,125.63402363517237,158.34747764927099
0,1999-08-31,109.8163093784982,129.50894047824883,158.55450129358326
0,1999-09-30,117.2308766728993,132.7242639795149,155.58367758801785
0,1999-10-29,113.85786842399722,136.6053968447211,164.19814775575782
0,1999-11-30,125.03466752869305,140.34381748680707,171.09405808321776
0,1999-12-31,139.7932101767777,144.1903378816472,186.77693984449257
0,2000-01-31,129.2783130174212,146.39745916933617,179.58328096191983
0,2000-02-29,134.30387548662029,149.64987508225062,191.99168356087242
0,2000-03-31,150.58427557013766,153.38150738562283,195.7690490778624
0,2000-04-28,142.76733044723244,156.7250043824998,185.8294777430812
0,2000-05-31,125.83667685222146,158.8786044228109,182.0713269971053
0,2000-06-30,133.41343311521908,160.71065092362977,193.08455040401512
0,2000-07-31,127.45448954560445,161.99830563889495,192.18144764000925
0,2000-08-31,124.5140297418067,162.3023080659739,205.01441581268966
0,2000-09-29,114.05733669239797,160.47580333481753,196.42565269160616
0,2000-10-31,110.99269601697705,160.0766829823243,189.0313019537993
0,2000-11-30,106.70070983249022,157.64997529373667,168.4530810779034
0,2000-12-29,96.63695009430677,153.87343553889156,166.4941201128381
0,2001-01-31,104.43209547434518,153.486340149699,164.8483283589096
0,2001-02-28,92.6889736976212,152.02912996442,149.1412391904764
0,2001-03-30,88.48904525359495,149.2313072099535,139.19856664839696
0,2001-04-30,89.32429620783651,145.9232128161621,145.3611173324013
0,2001-05-31,86.56740500252675,144.32011100257267,147.00326569024742
